Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
28-08-77,20:10:05,33,5.5,PAPUA NEW GUINEA,ADMIRALTY ISLANDS,-1.081,146.23,0.6,,,,,
10-10-77,11:53:53,33,7.2,TONGA,TONGA TRENCH,-25.856,-175.406,0.03,,,,,
20-04-77,23:42:50,19,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.89,160.348,,,,,,
14-01-78,3:24:39,,6.6,JAPAN,TOKAIDO,34.809,139.259,0.35,25,129,,85,544
22-03-78,0:50:32,33,6.7,RUSSIA,S. KURIL ISLANDS,44.026,149.002,0.07,,,,,
23-03-78,0:31:02,46,6.8,RUSSIA,S. KURIL ISLANDS,44.209,148.971,0.17,,,,,
23-03-78,3:15:20,33,7.5,RUSSIA,S. KURIL ISLANDS,44.932,148.439,0.3,,,,,
24-03-78,19:47:50,33,7.6,RUSSIA,S. KURIL ISLANDS,44.244,148.862,0.65,,,,,
12-06-78,8:14:26,44,7.7,JAPAN,SANRIKU,38.19,142.03,0.6,28,1000,865,,
14-06-78,12:32:33,24,6.9,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",8.249,122.403,0.03,,,,,
20-06-78,20:03:21,3,6.4,GREECE,"THESSALONIKI (SALONICA), GREECE",40.739,23.229,0.45,50,,250,,
23-07-78,14:42:36,17,7.4,TAIWAN,TAIWAN,22.282,121.512,0.05,,,,,
29-11-78,19:52:47,18,7.8,MEXICO,MEXICO,16.01,-96.591,1.5,9,,,,
22-03-78,21:34:33,33,6.6,RUSSIA,S. KURIL ISLANDS,44.14,149.029,0.05,,,,,
14-08-78,14:17:50,30,4.4,SPAIN,CADIZ,36.37,-6.98,0.12,,,,,
20-02-79,6:32:32,10,6.4,JAPAN,"IWATE, JAPAN",40.232,143.703,0.12,,,,,
28-02-79,21:27:08,15,7.5,USA,"SE. ALASKA, AK",60.691,-141.671,0.15,,,,,
14-03-79,11:07:16,49,7.6,MEXICO,S. MEXICO,17.813,-101.276,1.3,5,35,30,200,
15-04-79,6:19:44,10,6.9,MONTENEGRO,MONTENEGRO,42.096,19.209,0.6,131,1001,2700,,
12-09-79,5:17:51,5,7.9,INDONESIA,IRIAN JAYA,-1.679,136.04,2,115,,,1000,
16-10-79,13:57:00,,,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,10,9,,,,
16-11-79,15:21:25,33,6.9,FIJI,FIJI ISLANDS,-16.76,179.984,,,,,,
12-12-79,7:59:03,24,7.7,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,6,600,20000,8,10000,
03-09-79,2:12:00,0,5,VENEZUELA,PUERTO CUMAREBO,11.517,-69.5,,,,,,
09-04-79,2:10:20,10,5.3,MONTENEGRO,MONTENEGRO: BAR ULCINJ,41.956,19.023,,,,,,
15-05-79,6:59:21,33,5.6,GREECE,CRETE,34.53,24.437,,,,,,
23-02-80,5:51:03,44,7,RUSSIA,S. KURIL ISLANDS,43.53,146.753,0.16,,,,,
29-06-80,7:20:05,15,6.2,JAPAN,HONSHU ISLAND,34.808,139.181,0.56,,7,,,
17-07-80,19:42:23,33,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-12.525,165.916,0.14,,,,,
01-01-80,16:42:40,10,7.2,PORTUGAL,AZORES,38.815,-27.78,,69,600,5,,
18-01-81,18:17:24,,6.9,JAPAN,E. HONSHU ISLAND,38.64,142.75,0.37,,,,,
24-02-81,20:53:38,33,6.7,GREECE,ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,0.3,22,400,812,8000,
11-05-81,7:10:00,,,SOUTH AFRICA,AGULHAS BANK,-35.616,20.267,0.29,,,,,
25-05-81,5:25:14,33,7.6,NEW ZEALAND,NEW ZEALAND,-48.786,164.357,0.3,,,,,
01-09-81,9:29:31,25,7.7,SAMOA,SAMOA ISLANDS,-14.96,-173.085,1,,,,,
25-10-81,3:22:15,28,7.3,MEXICO,MEXICO,18.084,-102.084,0.09,9,,,,
04-03-81,21:58:05,29,6.4,GREECE,GULF OF CORINTH,38.209,23.288,1,,,,,
24-02-82,4:22:40,52,5.4,INDONESIA,JAVA TRENCH,4.374,97.755,0.1,,,,,
21-03-82,2:32:07,44,6.9,JAPAN,HOKKAIDO ISLAND,42.158,142.361,1.3,,,,,
23-07-82,14:23:53,37,7.2,JAPAN,"IBARAKI, JAPAN",36.194,141.702,0.4,,,,,
19-12-82,17:43:54,33,7.5,TONGA,KERMADEC ISLANDS,-24.133,-175.864,0.2,,,,,
28-12-82,6:37:42,22,6.4,JAPAN,S. OF HONSHU ISLAND,33.826,139.434,0.19,,,,,
11-03-82,10:32:27,33,6.6,INDONESIA,SUMBAWA ISLAND,-9.265,118.479,0.1,,,,,
11-01-82,6:10:06,46,7.1,PHILIPPINES,PHILIPPINES,13.752,124.358,0.1,,,,,
25-12-82,12:28:02,33,6,INDONESIA,FLORES SEA,-8.405,123.08,,13,390,1.45,1875,
12-03-83,1:36:35,17,6.9,INDONESIA,BANDA SEA,-4.056,127.924,3,,,,,
18-03-83,9:05:50,89,7.9,PAPUA NEW GUINEA,NEW BRITAIN,-4.883,153.581,0.3,,,,,
